Character,Sentence,Negative,Neutral,Positive,Compound,EXT_Pos,EXT_Neg,NEU_Pos,NEU_Neg,AGR_Pos,AGR_Neg,CON_Pos,CON_Neg,OPN_Pos,OPN_Neg
dumbledore,"i should've known that you would be here, professor mcgonagall. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore," i'm afraid so, professor. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore, the good and the bad. ,0.372,0.319,0.309,-0.1531,0,1,0,1,0,0,0,0,0,1
dumbledore, hagrid is bringing him. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," ah, professor, i would trust hagrid with my life. ",0.0,0.708,0.292,0.5106,0,0,1,0,0,0,1,0,1,0
dumbledore," no problems, i trust, hagrid? ",0.0,0.351,0.649,0.6765,1,0,1,0,0,0,1,0,1,0
dumbledore," albus, do you really think it's safe, leaving him with these people? ",0.0,0.777,0.223,0.4877,0,0,1,0,0,0,0,0,1,0
dumbledore, the only family he has. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore, exactly. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, he's far better off growing up away from all of that. ,0.0,0.662,0.338,0.5574,1,0,0,0,0,0,0,0,1,0
dumbledore, until he's ready. ,0.0,0.444,0.556,0.3612,1,0,0,0,0,0,0,0,1,0
dumbledore," there, there, hagrid. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," it's not really goodbye, after all. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore, good luck...harry potter. ,0.0,0.408,0.592,0.4404,1,0,1,0,0,0,1,0,1,0
dumbledore, i have a few start-of-term notices i wish to announce. ,0.0,0.769,0.231,0.4019,1,0,1,0,1,0,1,0,1,0
dumbledore," the first years, please note that the dark forest is strictly forbidden to all students. ",0.155,0.718,0.127,-0.128,0,1,0,1,0,1,0,1,0,1
dumbledore," also, our caretaker, mr. filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. ",0.205,0.66,0.135,-0.5079,0,1,0,1,0,1,0,0,0,1
dumbledore, thank you. ,0.0,0.286,0.714,0.3612,1,0,1,0,0,0,0,0,1,0
dumbledore, let the feast begin. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, sillllleeennnnceeeee! ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore,"  everyone will please, not panic.  ",0.0,0.375,0.625,0.6126,1,0,1,0,0,0,0,0,1,0
dumbledore," now, prefects will lead their houses back to the dormitories.  ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, teachers will follow me to the dungeons. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore," back again, harry? ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," i see that you, like so many before you, have discovered the delights of the mirror of erised.  ",0.0,0.744,0.256,0.6705,0,0,1,0,1,0,0,0,1,0
dumbledore, i trust by now you realize what it does.  ,0.0,0.708,0.292,0.5106,1,0,1,0,0,0,1,0,1,0
dumbledore, let me give you a clue.  ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," the happiest man on earth would look into the mirror and see only himself, exactly as he is. ",0.0,0.802,0.198,0.6369,0,0,0,0,1,0,0,0,1,0
dumbledore, yes...and no.  ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," it shows us nothing more or less than the deepest, most desperate desires of our hearts.  ",0.124,0.67,0.206,0.4033,0,0,1,0,0,0,0,0,1,0
dumbledore," now you, who have never known your family, you see them standing beside you.  ",0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0
dumbledore," but remember this, harry.  ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, this mirror gives us neither knowledge or truth.  ,0.219,0.781,0.0,-0.2411,0,0,0,1,0,0,0,0,0,1
dumbledore," men have wasted away in front of it, even gone mad.  ",0.416,0.584,0.0,-0.7506,0,1,0,1,0,0,0,0,0,1
dumbledore," that is why tomorrow it will be moved to a new home, and i must ask you not to go looking for it again. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore," it does not do to dwell on dreams, harry, and forget to live. ",0.205,0.626,0.169,0.1103,1,0,1,0,0,0,0,0,1,0
dumbledore," good afternoon, harry.  ",0.0,0.408,0.592,0.4404,1,0,1,0,0,0,1,0,1,0
dumbledore, ah. tokens from your admirers? ,0.0,0.597,0.403,0.4019,1,0,1,0,1,0,0,0,1,0
dumbledore," what happened down in the dungeons between you and professor quirrell is a complete secret, so, naturally, the whole school knows.  ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," ah, i see your friend ronald has saved you the trouble of opening your chocolate frogs. ",0.124,0.599,0.276,0.5106,0,0,0,0,1,0,1,0,1,0
dumbledore, fine. they're both just fine. ,0.0,0.455,0.545,0.3818,1,0,1,0,1,0,1,0,1,0
dumbledore," relax, dear boy. the stone has been destroyed.  ",0.234,0.365,0.401,0.3182,0,0,1,0,0,0,1,0,1,0
dumbledore, my friend nicholas and i had a little chat and agreed it was best all around. ,0.0,0.585,0.415,0.8495,1,0,1,0,0,0,0,0,1,0
dumbledore, he has enough elixir to set his affairs in order.  ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," but yes, he will die. ",0.45,0.252,0.298,-0.4215,0,1,0,1,0,1,0,0,0,1
dumbledore," ah. you see, only a person who wanted to find the stone, find it, but not use it, would be able to get it.  ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, that is one of my more brilliant ideas.  ,0.0,0.631,0.369,0.624,1,0,1,0,1,0,0,0,1,0
dumbledore, and between you and me thats saying something. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," ah, i'm afraid there are ways in which he can return.  ",0.0,1.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0
dumbledore," harry, do you know why professor quirrell couldn't bear to have you touch him? ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore, it was because of your mother.  ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore," she sacrificed herself for you, and that kind of act leaves a mark.  ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," no, no, this kind of mark cannot be seen. ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0
dumbledore, it lives in your very skin. ,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
dumbledore," love, harry, love.  ",0.0,0.106,0.894,0.8555,1,0,1,0,1,0,0,0,1,0
dumbledore, ah. bertie bott's every flavour beans.  ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," i was most unfortunate in my youth to come across a vomit flavoured one, and since then i have lost my liking for them.  ",0.191,0.717,0.092,-0.4391,0,0,0,0,0,0,0,0,0,1
dumbledore, but i think i could be safe with a nice toffee... ,0.0,0.544,0.456,0.8201,1,0,1,0,1,0,1,0,1,0
dumbledore, mm. alas. earwax. ,0.512,0.488,0.0,-0.2732,0,1,0,1,0,1,0,0,0,1
dumbledore, another year gone.  ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," and now, as i understand it, the house cup needs awarding, and the points stand thus.  ",0.0,0.838,0.162,0.4404,1,0,1,0,0,0,0,0,1,0
dumbledore," in fourth place, gryffindor with 312 points.  ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," third place, hufflepuff, with 352 points.  ",0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0
dumbledore," in second place, ravenclaw, with 426 points ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," and in first place, with 472 points, slytherin house. ",0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0
dumbledore," yes, yes, well done slytherin, well done slytherin.  ",0.0,0.294,0.706,0.8225,1,0,1,0,0,0,0,0,1,0
dumbledore," however, recent events must be taken into account.  ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, and i have a few last minute points to award.  ,0.0,0.72,0.28,0.5423,1,0,1,0,0,0,1,0,1,0
dumbledore," to miss hermione granger, for the use of cool intellect when others were in great peril, 50 points.  ",0.161,0.487,0.352,0.7269,1,0,1,0,0,0,1,0,1,0
dumbledore," second, to mr. ronald weasley, for the best played game of chess that hogwarts has seen these many years...50 points.  ",0.0,0.732,0.268,0.765,1,0,1,0,0,0,0,0,1,0
dumbledore," and third, to mr. harry potter, for pure nerve and outstanding courage, i award gryffindor house 60 points.  ",0.0,0.584,0.416,0.8934,0,0,1,0,1,0,0,0,1,0
dumbledore," and finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends.  ",0.056,0.559,0.385,0.9239,1,0,1,0,0,0,1,0,1,0
dumbledore, i award 10 points to neville longbottom. ,0.0,0.632,0.368,0.5423,1,0,1,0,0,0,1,0,1,0
dumbledore," assuming that my calculations are correct, i believe that a change of direction is in order.  ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, gryffindor wins the house cup! ,0.0,0.501,0.499,0.6114,1,0,1,0,1,0,0,0,1,0
dumbledore, they are not. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, i am well aware of our bylaws having written quite a few of them myself. ,0.0,0.87,0.13,0.2732,1,0,1,0,1,0,1,0,1,0
dumbledore," however, as head of gryffindor house it is for professor mcgonagall to determine the appropriate action. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore, argus! ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore," argus, i... ",0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, everyone will proceed to their dormitories immediately. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, everyone except you three. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore," she's not dead, argus. ",0.0,0.466,0.534,0.5334,1,0,1,0,0,0,0,0,1,0
dumbledore, she has been petrified. ,0.538,0.462,0.0,-0.5423,0,1,0,1,0,0,0,0,0,1
dumbledore," but how she has been petrified, i cannot say. ",0.373,0.627,0.0,-0.6956,0,1,0,1,0,1,0,0,0,1
dumbledore," innocent until proven guilty, severus. ",0.341,0.366,0.293,-0.1027,0,1,0,1,0,1,0,0,0,1
dumbledore," we will be able to cure her, argus. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore," as i understand it, madam sprout has a very healthy growth of mandrake. ",0.0,0.652,0.348,0.707,1,0,1,0,0,0,0,0,1,0
dumbledore," when matured, a potion will be made which will revive mrs. norris. ",0.0,0.821,0.179,0.34,1,0,1,0,0,0,1,0,1,0
dumbledore, and in the meantime i strongly recommend caution to all. ,0.0,0.635,0.365,0.5574,1,0,1,0,1,0,1,0,1,0
dumbledore, there's been another attack. ,0.508,0.492,0.0,-0.4767,0,1,0,1,0,1,0,0,0,1
dumbledore, it means that our students are in great danger. ,0.234,0.483,0.283,0.1779,1,0,1,0,0,0,1,0,1,0
dumbledore, the truth. ,0.0,0.303,0.697,0.3182,1,0,1,0,0,0,0,0,1,0
dumbledore, tell them hogwarts is no longer safe. ,0.479,0.521,0.0,-0.5583,0,0,0,1,0,0,0,1,0,1
dumbledore," it is as we feared, minerva ",0.39,0.61,0.0,-0.4939,0,1,0,1,0,0,0,0,0,1
dumbledore, the chamber of secrets has indeed been opened again. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, harry? ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, and about time too. ,0.0,1.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
dumbledore, he's been looking dreadful for days. ,0.367,0.633,0.0,-0.4404,0,1,0,1,0,1,0,0,0,1
dumbledore, pity you had to see him on a burning day. ,0.196,0.804,0.0,-0.296,0,1,0,1,0,0,0,0,0,1
dumbledore," fawkes is a phoenix, harry. ",0.0,1.0,0.0,0.0,1,0,1,0,1,0,1,0,1,0
dumbledore, they burst into flame when it is time for them to die... ,0.262,0.738,0.0,-0.5994,0,1,0,0,0,0,0,0,0,1
dumbledore, and then they are reborn from the ashes. ,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0
dumbledore," fascinating creatures, phoenixes. ",0.0,0.364,0.636,0.5423,1,0,1,0,1,0,0,0,1,0
dumbledore, they can carry immensely heavy loads. ,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0
dumbledore, their tears have healing powers. ,0.322,0.678,0.0,-0.2263,0,1,0,1,0,1,0,0,0,1
dumbledore, hagriiid!! relax. ,0.0,0.223,0.777,0.5399,1,0,1,0,0,0,0,0,1,0
